Model 1, 5 min prediction, 10 min prediction, 15 min prediction
window 5,,,
weighted-precision, 0.0.678, 0.610, 0.556
weighted-recall, 0.732, 0.722, 0.724
weighted-F1, 0.655, 0.617, 0.61
window 10,,,
weighted-precision, 0.684, 0.587, 0.560
weighted-recall, 0.736, 0.727, 0.728
weighted-F1, 0.659, 0.623, 0.623
window 15,,,
weighted-precision, 0.68, 0.600, 0.564
weighted-recall, 0.741, 0.731, 0.731
weighted-F1, 0.666, 0.629, 0.629
